SITE,MONTH,DAY,YEAR,T_HI,T_LO,T_AVG,RH,WIND,MAX1_MIN,SOIL_F,SOLAR_LANG,PRECIP,ETPOT,GDD_40,GDD_50
1,4,1,1989,52,28,43,58.5,11.2,24.7,49.5,200,0.00,0.14,6,1
1,4,2,1989,64,27,47,56.9,11.6,36.9,49.3,362,0.00,0.24,12,7
1,4,3,1989,55,26,41,31.2,15.1,33.6,49.3,448,0.00,0.33,7,2
1,4,4,1989,50,20,35,35.1,10.3,27.6,45.1,338,0.00,0.22,5,0
1,4,5,1989,63,24,44,41.3,10.7,27.7,46.3,422,0.00,0.28,11,6
1,4,6,1989,64,42,52,40.3,11.7,26.7,52.5,514,0.00,0.33,13,7
1,4,7,1989,79,39,56,36.5,18.0,37.0,55.2,397,0.00,0.60,19,14
1,4,8,1989,41,28,33,89.7,8.0,15.6,48.7,171,0.06,0.05,1,0
1,4,9,1989,34,5,23,85.8,11.0,24.1,41.3,548,0.01,0.08,0,0
1,4,10,1989,36,2,19,76.1,7.0,13.1,39.4,602,0.09,0.11,0,0
1,4,11,1989,56,11,33,64.5,5.2,15.1,41.9,566,0.00,0.17,8,3
1,4,12,1989,59,25,41,60.0,4.5,11.6,46.1,581,0.00,0.18,9,4
1,4,13,1989,67,31,47,52.3,7.2,16.2,50.4,574,0.00,0.26,14,9
1,4,14,1989,62,29,47,48.4,7.4,17.6,52.4,537,0.00,0.23,11,6
1,4,15,1989,78,34,57,36.9,11.2,21.5,53.8,498,0.00,0.41,19,14
1,4,16,1989,74,44,61,39.9,11.6,25.3,59.0,483,0.00,0.36,19,12
1,4,17,1989,64,38,48,70.3,15.0,35.6,56.1,375,0.00,0.27,12,7
1,4,18,1989,66,33,48,51.6,8.8,30.2,57.2,524,0.00,0.27,13,8
1,4,19,1989,84,31,60,33.3,6.8,18.6,60.1,594,0.00,0.36,19,17
1,4,20,1989,87,50,68,21.0,7.0,19.2,65.8,570,0.00,0.40,24,18
1,4,21,1989,93,45,69,19.8,6.5,19.9,66.3,548,0.00,0.43,21,18
1,4,22,1989,87,49,68,19.7,7.5,18.1,66.8,414,0.00,0.40,23,18
1,4,23,1989,87,48,67,21.2,7.9,16.2,67.1,583,0.00,0.45,23,18
1,4,24,1989,77,38,60,60.2,13.9,23.2,66.0,541,0.00,0.35,19,14
1,4,25,1989,68,40,54,79.9,7.9,20.7,62.9,278,0.00,0.13,14,9
1,4,26,1989,76,47,60,62.6,10.9,28.5,64.0,497,0.00,0.31,22,13
