year,month,site,prec,,Source:
1985,1,1,12.7,,DAP_SSW_85to09 Monthly precipitation.xlsx
1985,2,1,0.76,,
1985,3,1,7.37,,Compiled by Andy Robertson Mar 2017
1985,4,1,59.69,,
1985,5,1,65.52,,
1985,6,1,17.78,,
1985,7,1,86.87,,
1985,8,1,11.69,,
1985,9,1,55.87,,
1985,10,1,8.89,,
1985,11,1,25.66,,
1985,12,1,25.65,,
1986,1,1,2.79,,
1986,2,1,27.94,,
1986,3,1,11.18,,
1986,4,1,113.04,,
1986,5,1,79.26,,
1986,6,1,85.09,,
1986,7,1,58.42,,
1986,8,1,39.36,,
1986,9,1,47.23,,
1986,10,1,23.36,,
1986,11,1,8.64,,
1986,12,1,6.36,,
1987,1,1,6.61,,
1987,2,1,47.5,,
1987,3,1,36.07,,
1987,4,1,10.15,,
1987,5,1,146.31,,
1987,6,1,91.18,,
1987,7,1,66.8,,
1987,8,1,66.56,,
1987,9,1,13.72,,
1987,10,1,8.39,,
1987,11,1,46.73,,
1987,12,1,21.07,,
1988,1,1,16.764,,
1988,2,1,4.318,,
1988,3,1,21.844,,
1988,4,1,21.844,,
1988,5,1,163.068,,
1988,6,1,82.296,,
1988,7,1,61.468,,
1988,8,1,38.1,,
1988,9,1,37.846,,
1988,10,1,11.43,,
1988,11,1,0,,
1988,12,1,7.366,,
1989,1,1,14.732,,
1989,2,1,7.112,,
1989,3,1,6.604,,
1989,4,1,24.384,,
1989,5,1,49,,
1989,6,1,112,,
1989,7,1,71,,
1989,8,1,73.4,,
1989,9,1,61,,
1989,10,1,6.096,,
1989,11,1,0,,
1989,12,1,7.112,,
1990,1,1,25.654,,
1990,2,1,1.524,,
1990,3,1,33.528,,
1990,4,1,38.862,,
1990,5,1,73.254,,
1990,6,1,10,,
1990,7,1,138,,
1990,8,1,59,,
1990,9,1,22,,
1990,10,1,31.242,,
1990,11,1,18.796,,
1990,12,1,2.794,,
1991,1,1,2.032,,
1991,2,1,5.588,,
1991,3,1,28.448,,
1991,4,1,21.082,,
1991,5,1,77.304,,
1991,6,1,92,,
1991,7,1,70,,
1991,8,1,59.574,,
1991,9,1,22.064,,
1991,10,1,10.16,,
1991,11,1,31.242,,
1991,12,1,0.508,,
1992,1,1,25.4,,
1992,2,1,10.16,,
1992,3,1,51.816,,
1992,4,1,12.192,,
1992,5,1,32,,
1992,6,1,172.25,,
1992,7,1,101,,
1992,8,1,145.144,,
1992,9,1,7,,
1992,10,1,18.034,,
1992,11,1,16.002,,
1992,12,1,10.668,,
1993,1,1,4.572,,
1993,2,1,25.908,,
1993,3,1,21.844,,
1993,4,1,37.338,,
1993,5,1,44.704,,
1993,6,1,71.628,,
1993,7,1,42.256,,
1993,8,1,63.798,,
1993,9,1,32,,
1993,10,1,49.784,,
1993,11,1,31.75,,
1993,12,1,6.35,,
1994,1,1,18.796,,
1994,2,1,6.35,,
1994,3,1,4.572,,
1994,4,1,39.37,,
1994,5,1,15.762,,
1994,6,1,18,,
1994,7,1,116,,
1994,8,1,1,,
1994,9,1,18,,
1994,10,1,109.22,,
1994,11,1,17.526,,
1994,12,1,9.652,,
1995,1,1,10.668,,
1995,2,1,1.016,,
1995,3,1,19.558,,
1995,4,1,53.594,,
1995,5,1,153,,
1995,6,1,159,,
1995,7,1,65,,
1995,8,1,6,,
1995,9,1,55,,
1995,10,1,0,,
1995,11,1,7,,
1995,12,1,2,,
1996,1,1,17.018,,
1996,2,1,3.81,,
1996,3,1,17.018,,
1996,4,1,28.194,,
1996,5,1,98.044,,
1996,6,1,48.006,,
1996,7,1,156.718,,
1996,8,1,73.914,,
1996,9,1,24.13,,
1996,10,1,1.778,,
1996,11,1,7.112,,
1996,12,1,2.286,,
1997,1,1,1.778,,
1997,2,1,4.064,,
1997,3,1,6.35,,
1997,4,1,13.716,,
1997,5,1,63.754,,
1997,6,1,99.822,,
1997,7,1,199.644,,
1997,8,1,77.47,,
1997,9,1,42.926,,
1997,10,1,48.768,,
1997,11,1,0.508,,
1997,12,1,3.556,,
1998,1,1,0,,
1998,2,1,0,,
1998,3,1,1.016,,
1998,4,1,9.144,,
1998,5,1,59.436,,
1998,6,1,56.642,,
1998,7,1,173.99,,
1998,8,1,27.178,,
1998,9,1,47.498,,
1998,10,1,47.498,,
1998,11,1,13.462,,
1998,12,1,0,,
1999,1,1,0,,
1999,2,1,0,,
1999,3,1,1.52,,
1999,4,1,57.7,,
1999,5,1,71.9,,
1999,6,1,74.1,,
1999,7,1,46.9,,
1999,8,1,118.3,,
1999,9,1,40.1,,
1999,10,1,6.1,,
1999,11,1,4.8,,
1999,12,1,0,,
2000,1,1,0,,
2000,2,1,0,,
2000,3,1,14.9,,
2000,4,1,35.3,,
2000,5,1,19.3,,
2000,6,1,23.9,,
2000,7,1,25.1,,
2000,8,1,63.7,,
2000,9,1,39.4,,
2000,10,1,50.3,,
2000,11,1,23.1,,
2000,12,1,7.6,,
2001,1,1,13.97,,
2001,2,1,15.24,,
2001,3,1,8.89,,
2001,4,1,28.702,,
2001,5,1,113.284,,
2001,6,1,38.1,,
2001,7,1,57.912,,
2001,8,1,33.782,,
2001,9,1,59.182,,
2001,10,1,18.796,,
2001,11,1,20.32,,
2001,12,1,0,,
2002,1,1,1.524,,
2002,2,1,1.27,,
2002,3,1,5.588,,
2002,4,1,10.668,,
2002,5,1,15.24,,
2002,6,1,22.606,,
2002,7,1,6.096,,
2002,8,1,108.966,,
2002,9,1,27.686,,
2002,10,1,24.384,,
2002,11,1,10.922,,
2002,12,1,1.778,,
2003,1,1,6.604,,
2003,2,1,7.366,,
2003,3,1,53.594,,
2003,4,1,80.772,,
2003,5,1,60.96,,
2003,6,1,50.8,,
2003,7,1,40.64,,
2003,8,1,54.61,,
2003,9,1,4.826,,
2003,10,1,1.016,,
2003,11,1,3.556,,
2003,12,1,7.62,,
2004,1,1,4.064,,
2004,2,1,22.86,,
2004,3,1,7.366,,
2004,4,1,35.56,,
2004,5,1,26.162,,
2004,6,1,72.136,,
2004,7,1,67.31,,
