id,date,est_date,time_point,year,month,season,phase,exp_year,julian,dss,site,slope,fert,treat,strip,rot_phs,comb_id,man_id,crop_id,crop,TOY,seed,seed_rate,n_added,st_yld,gr_yld,st_n,gr_n,st_p,gr_p
1,7/26/1986,7/26/1986,572,1986,7,Sum,G,1,207,207,1,1,NP,1,1,1,120.86,118611.01,1,W,,,,,3504,1152,3685,18656,99999,99999
2,7/26/1986,7/26/1986,572,1986,7,Sum,G,1,207,207,1,1,N,1,1,1,120.86,118611.01,1,W,,,,,3504,1152,3685,18656,99999,99999
3,7/26/1986,7/26/1986,572,1986,7,Sum,G,1,207,207,1,2,NP,1,1,1,120.86,128611.01,1,W,,,,,3000,1438,3105,19958,99999,99999
4,7/26/1986,7/26/1986,572,1986,7,Sum,G,1,207,207,1,2,N,1,1,1,120.86,128611.01,1,W,,,,,3000,1438,3105,19958,99999,99999
5,7/26/1986,7/26/1986,572,1986,7,Sum,G,1,207,207,1,3,NP,1,1,1,120.86,138611.01,1,W,,,,,3640,1768,3137,18287,99999,99999
6,7/26/1986,7/26/1986,572,1986,7,Sum,G,1,207,207,1,3,N,1,1,1,120.86,138611.01,1,W,,,,,3640,1768,3137,18287,99999,99999
7,7/26/1986,7/26/1986,572,1986,7,Sum,G,1,207,207,1,1,NP,10,7,1,126.86,118617.1,1,W,,,,,3260,1487,3480,18470,99999,99999
8,7/26/1986,7/26/1986,572,1986,7,Sum,G,1,207,207,1,1,N,10,7,1,126.86,118617.1,1,W,,,,,3260,1487,3480,18470,99999,99999
9,7/26/1986,7/26/1986,572,1986,7,Sum,G,1,207,207,1,2,NP,10,7,1,126.86,128617.1,1,W,,,,,2520,1118,3750,20786,99999,99999
10,7/26/1986,7/26/1986,572,1986,7,Sum,G,1,207,207,1,2,N,10,7,1,126.86,128617.1,1,W,,,,,2520,1118,3750,20786,99999,99999
11,7/26/1986,7/26/1986,572,1986,7,Sum,G,1,207,207,1,3,NP,10,7,1,126.86,138617.1,1,W,,,,,3690,1628,3120,19223,99999,99999
