id,date,est_date,time_point,year,month,season,phase,exp_year,julian,dss,site,slope,fert,treat,strip,rot_phs,comb_id,man_id,crop_id,crop,TOY,seed,seed_rate,n_added,dclass,d_from,d_to,bd,c_conc,soc,n_conc,sn,rep
,,,,1986,,,,,,,1,1,,1,1,,,,,,,,,,1,0,2.5,1.16,1.055,3.0595,0.0322,0.09338,1
,,,,1986,,,,,,,1,1,,1,1,,,,,,,,,,2,2.5,5,1.17,0.918,2.68515,0.0107,0.0312975,1
,,,,1986,,,,,,,1,1,,1,1,,,,,,,,,,3,5,10,1.53,0.872,6.6708,0.0023,0.017595,1
,,,,1986,,,,,,,1,1,,1,1,,,,,,,,,,4,10,20,1.41,0.688,9.7008,0.0408,0.57528,1
,,,,1986,,,,,,,1,2,,1,1,,,,,,,,,,1,0,2.5,1.3,0.918,2.9835,0.0394,0.12805,1
,,,,1986,,,,,,,1,2,,1,1,,,,,,,,,,2,2.5,5,1.28,0.849,2.7168,0.0193,0.06176,1
,,,,1986,,,,,,,1,2,,1,1,,,,,,,,,,3,5,10,1.43,0.826,5.9059,0.0045,0.032175,1
,,,,1986,,,,,,,1,2,,1,1,,,,,,,,,,4,10,20,1.34,0.711,9.5274,0.0421,0.56414,1
,,,,1986,,,,,,,1,3,,1,1,,,,,,,,,,1,0,2.5,1.15,1.767,5.080125,0,0,1
,,,,1986,,,,,,,1,3,,1,1,,,,,,,,,,2,2.5,5,1.17,1.354,3.96045,0.0809,0.2366325,1
,,,,1986,,,,,,,1,3,,1,1,,,,,,,,,,3,5,10,1.31,1,6.55,0.097,0.63535,1
,,,,1986,,,,,,,1,3,,1,1,,,,,,,,,,4,10,20,1.47,0.941,13.8327,0.061,0.8967,1
,,,,1986,,,,,,,1,1,,7,2,,,,,,,,,,1,0,2.5,1.16,1.2,3.48,0.0765,0.22185,1
,,,,1986,,,,,,,1,1,,7,2,,,,,,,,,,2,2.5,5,1.17,0.76,2.223,0.0711,0.2079675,1
,,,,1986,,,,,,,1,1,,7,2,,,,,,,,,,3,5,10,1.53,0.7,5.355,0.0495,0.378675,1
,,,,1986,,,,,,,1,1,,7,2,,,,,,,,,,4,10,20,1.41,0,0,0.0636,0.89676,1
,,,,1986,,,,,,,1,2,,7,2,,,,,,,,,,1,0,2.5,1.3,0.74,2.405,0.0658,0.21385,1
,,,,1986,,,,,,,1,2,,7,2,,,,,,,,,,2,2.5,5,1.28,0.7,2.24,0.0789,0.25248,1
,,,,1986,,,,,,,1,2,,7,2,,,,,,,,,,3,5,10,1.43,0.64,4.576,0.0635,0.454025,1
,,,,1986,,,,,,,1,2,,7,2,,,,,,,,,,4,10,20,1.34,0,0,0.0564,0.75576,1
,,,,1986,,,,,,,1,3,,7,2,,,,,,,,,,1,0,2.5,1.15,1.03,2.96125,0.1004,0.28865,1
,,,,1986,,,,,,,1,3,,7,2,,,,,,,,,,2,2.5,5,1.17,1.03,3.01275,0.0508,0.14859,1
,,,,1986,,,,,,,1,3,,7,2,,,,,,,,,,3,5,10,1.31,1.03,6.7465,0.087,0.56985,1
,,,,1986,,,,,,,1,3,,7,2,,,,,,,,,,4,10,20,1.47,0,0,0.103,1.5141,1
,,,,1986,,,,,,,1,1,,2,3,,,,,,,,,,1,0,2.5,1.16,0.9222,2.67438,0.0936,0.27144,1
,,,,1986,,,,,,,1,1,,2,3,,,,,,,,,,2,2.5,5,1.17,0.7301,2.1355425,0.0945,0.2764125,1
,,,,1986,,,,,,,1,1,,2,3,,,,,,,,,,3,5,10,1.53,0.7109,5.438385,0.1038,0.79407,1
,,,,1986,,,,,,,1,1,,2,3,,,,,,,,,,4,10,20,1.41,0,0,0.0906,1.27746,1
,,,,1986,,,,,,,1,2,,2,3,,,,,,,,,,1,0,2.5,1.3,0.7878,2.56035,0.0929,0.301925,1
,,,,1986,,,,,,,1,2,,2,3,,,,,,,,,,2,2.5,5,1.28,0.7109,2.27488,0.1178,0.37696,1
,,,,1986,,,,,,,1,2,,2,3,,,,,,,,,,3,5,10,1.43,0.6725,4.808375,0.0945,0.675675,1
,,,,1986,,,,,,,1,2,,2,3,,,,,,,,,,4,10,20,1.34,0,0,0.0921,1.23414,1
,,,,1986,,,,,,,1,3,,2,3,,,,,,,,,,1,0,2.5,1.15,1.2104,3.4799,0.1216,0.3496,1
,,,,1986,,,,,,,1,3,,2,3,,,,,,,,,,2,2.5,5,1.17,1.1143,3.2593275,0.1023,0.2992275,1
,,,,1986,,,,,,,1,3,,2,3,,,,,,,,,,3,5,10,1.31,1.0375,6.795625,0.1295,0.848225,1
,,,,1986,,,,,,,1,3,,2,3,,,,,,,,,,4,10,20,1.47,0,0,0.1295,1.90365,1
,,,,1986,,,,,,,1,1,,5,4,,,,,,,,,,1,0,2.5,1.16,1.0183,2.95307,0.0906,0.26274,1
,,,,1986,,,,,,,1,1,,5,4,,,,,,,,,,2,2.5,5,1.17,0.7301,2.1355425,0.0825,0.2413125,1
,,,,1986,,,,,,,1,1,,5,4,,,,,,,,,,3,5,10,1.53,0.6725,5.144625,0.096,0.7344,1
,,,,1986,,,,,,,1,1,,5,4,,,,,,,,,,4,10,20,1.41,0,0,0.1194,1.68354,1
,,,,1986,,,,,,,1,2,,5,4,,,,,,,,,,1,0,2.5,1.3,0.8838,2.87235,0.0826,0.26845,1
,,,,1986,,,,,,,1,2,,5,4,,,,,,,,,,2,2.5,5,1.28,0.7301,2.33632,0.0054,0.01728,1
,,,,1986,,,,,,,1,2,,5,4,,,,,,,,,,3,5,10,1.43,0.6917,4.945655,0.09,0.6435,1
,,,,1986,,,,,,,1,2,,5,4,,,,,,,,,,4,10,20,1.34,0,0,0.0789,1.05726,1
,,,,1986,,,,,,,1,3,,5,4,,,,,,,,,,1,0,2.5,1.15,1.3449,3.8665875,0.112,0.322,1
,,,,1986,,,,,,,1,3,,5,4,,,,,,,,,,2,2.5,5,1.17,1.1528,3.37194,0.0878,0.256815,1
,,,,1986,,,,,,,1,3,,5,4,,,,,,,,,,3,5,10,1.31,1.0951,7.172905,0.1341,0.878355,1
,,,,1986,,,,,,,1,3,,5,4,,,,,,,,,,4,10,20,1.47,0,0,0.1232,1.81104,1
,,,,1986,,,,,,,1,1,,8,5,,,,,,,,,,1,0,2.5,1.16,0.83,2.407,0.086,0.2494,1
,,,,1986,,,,,,,1,1,,8,5,,,,,,,,,,2,2.5,5,1.17,0.79,2.31075,0.0774,0.226395,1
,,,,1986,,,,,,,1,1,,8,5,,,,,,,,,,3,5,10,1.53,0.7,5.355,0.0846,0.64719,1
,,,,1986,,,,,,,1,1,,8,5,,,,,,,,,,4,10,20,1.41,0,0,0.0846,1.19286,1
,,,,1986,,,,,,,1,2,,8,5,,,,,,,,,,1,0,2.5,1.3,0.75,2.4375,0.0896,0.2912,1
,,,,1986,,,,,,,1,2,,8,5,,,,,,,,,,2,2.5,5,1.28,0.71,2.272,0.0916,0.29312,1
,,,,1986,,,,,,,1,2,,8,5,,,,,,,,,,3,5,10,1.43,0.71,5.0765,0.0846,0.60489,1
,,,,1986,,,,,,,1,2,,8,5,,,,,,,,,,4,10,20,1.34,0,0,0.0831,1.11354,1
,,,,1986,,,,,,,1,3,,8,5,,,,,,,,,,1,0,2.5,1.15,1.29,3.70875,0.1202,0.345575,1
,,,,1986,,,,,,,1,3,,8,5,,,,,,,,,,2,2.5,5,1.17,1.25,3.65625,0.1226,0.358605,1
,,,,1986,,,,,,,1,3,,8,5,,,,,,,,,,3,5,10,1.31,1.2,7.86,0.1344,0.88032,1
,,,,1986,,,,,,,1,3,,8,5,,,,,,,,,,4,10,20,1.47,0,0,0.0916,1.34652,1
